ticker,fiscal_period,period_end_date,accession_no,segment,metric_name,metric_value,metric_unit,source_label
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,asp_dollars,454000.0,usd,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
NVR,Q3 2025,2025-10-22,0000906163-25-000115,consolidated,gross_margin_pct,21.0,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000115/q32025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,net_orders_units,5379.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,cancellation_rate_pct,16.5,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,backlog_units,10069.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,community_count,426.0,count,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,closings_units,5475.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,asp_dollars,465400.0,usd,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q2 2025,2025-07-23,0000906163-25-000080,consolidated,gross_margin_pct,21.5,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000080/q22025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,net_orders_units,5345.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,cancellation_rate_pct,16.0,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,backlog_units,10165.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,community_count,401.0,count,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,closings_units,5133.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,asp_dollars,457900.0,usd,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q1 2025,2025-04-22,0000906163-25-000050,consolidated,gross_margin_pct,21.9,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000050/q12025ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,net_orders_units,4794.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,cancellation_rate_pct,16.9,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,backlog_units,9953.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,community_count,426.0,count,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,closings_units,6180.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,asp_dollars,450000.0,usd,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q4 2024,2025-01-28,0000906163-25-000003,consolidated,gross_margin_pct,23.6,pct,https://www.sec.gov/Archives/edgar/data/906163/000090616325000003/q42024ex991_earningsrelease.htm
NVR,Q3 2024,2024-10-22,0000906163-24-000118,consolidated,net_orders_units,5650.0,units,https://www.sec.gov/Archives/edgar/data/906163/000090616324000118/q32024ex991_earningsrelease.htm
